n,r,m
(:invention {id: neural networks}),[:developed],(:invention {id: computer vision})
(:invention {id: neural networks}),[:developed],(:invention {id: natural language processing})
(:person {id: John J. Hopfield}),[:bornIn],(:birthPlace {id: Chicago})
(:person {id: John J. Hopfield}),[:worksAt],(:institution {id: California Institute of Technology (Caltech)})
(:person {id: John J. Hopfield}),[:worksAt],(:institution {id: Princeton University})
(:person {id: John J. Hopfield}),[:worksAt],(:institution {id: AT&T Bell Laboratories})
(:person {id: John J. Hopfield}),[:developed],(:invention {id: Hopfield network})
(:person {id: John J. Hopfield}),[:collaboratedWith],(:person {id: Geoffrey Hinton})
(:person {id: John J. Hopfield}),[:hasAward],(:award {id: Nobel Prize in Physics})
(:person {id: John J. Hopfield}),[:bornAt],"(:date {id: July 15, 1933})"
(:person {id: John J. Hopfield}),[:hasNationality],(:nationality {id: American})
(:person {id: John J. Hopfield}),[:earnedDegreeFrom],(:institution {id: Swarthmore College})
(:person {id: John J. Hopfield}),[:earnedDegree],(:degree {id: bachelorâ€™s degree})
(:person {id: John J. Hopfield}),[:earnedDegree],(:degree {id: Ph.D})
(:person {id: George Boole}),[:developed],(:invention {id: algebra of logic})
(:person {id: Ilya Sutskever}),[:bornIn],(:birthPlace {id: Nizhny Novgorod})
(:person {id: Ilya Sutskever}),[:worksAt],(:institution {id: OpenAI})
(:person {id: Ilya Sutskever}),[:hasRole],(:role {id: Chief Scientist})
(:person {id: Ilya Sutskever}),[:developed],(:invention {id: GPT-3})
(:person {id: Ilya Sutskever}),[:developed],(:invention {id: GPT-4})
(:person {id: Ilya Sutskever}),[:coFounded],(:institution {id: OpenAI})
(:person {id: Ilya Sutskever}),[:bornAt],"(:date {id: December 8, 1986})"
(:person {id: Ilya Sutskever}),[:hasNationality],(:nationality {id: Canadian-Israeli-Russian})
(:person {id: Ilya Sutskever}),[:earnedDegree],(:degree {id: Ph.D})
(:person {id: Ilya Sutskever}),[:coInventing],(:invention {id: AlexNet})
(:person {id: Howard Everest Hinton}),[:is],(:relation {id: father})
(:person {id: Howard Everest Hinton}),[:was],(:role {id: entomologist})
(:person {id: Ronald J. Williams}),[:invented],(:invention {id: backpropagation algorithm})
(:person {id: Geoffrey Hinton}),[:bornIn],(:birthPlace {id: London})
(:person {id: Geoffrey Hinton}),[:worksAt],(:institution {id: University College London})
(:person {id: Geoffrey Hinton}),[:worksAt],(:institution {id: Carnegie Mellon University})
(:person {id: Geoffrey Hinton}),[:worksAt],(:institution {id: University of Toronto})
(:person {id: Geoffrey Hinton}),[:worksAt],(:institution {id: Vector Institute})
(:person {id: Geoffrey Hinton}),[:worksAt],(:institution {id: Google Brain})
(:person {id: Geoffrey Hinton}),[:worksAt],"(:institution {id: University of California, San Diego})"
(:person {id: Geoffrey Hinton}),[:hasRole],(:role {id: pursuit of knowledge and innovation})
(:person {id: Geoffrey Hinton}),[:hasRole],(:role {id: advisory roles})
(:person {id: Geoffrey Hinton}),[:hasRole],(:role {id: research})
(:person {id: Geoffrey Hinton}),[:hasRole],(:role {id: cognitive psychologist and computer scientist})
(:person {id: Geoffrey Hinton}),[:hasRole],(:role {id: advisory role})
(:person {id: Geoffrey Hinton}),[:coAuthored],(:person {id: Ronald J. Williams})
(:person {id: Geoffrey Hinton}),[:coAuthored],(:person {id: David Rumelhart})
(:person {id: Geoffrey Hinton}),[:developed],(:invention {id: mixtures of experts})
(:person {id: Geoffrey Hinton}),[:developed],(:invention {id: neural networks})
(:person {id: Geoffrey Hinton}),[:developed],(:invention {id: distributed representations})
(:person {id: Geoffrey Hinton}),[:developed],(:invention {id: time delay neural networks})
(:person {id: Geoffrey Hinton}),[:developed],(:invention {id: AI applications})
(:person {id: Geoffrey Hinton}),[:developed],(:invention {id: the product of experts})
(:person {id: Geoffrey Hinton}),[:developed],(:invention {id: Helmholtz machines})
(:person {id: Geoffrey Hinton}),[:invented],(:invention {id: Boltzmann machine})
(:person {id: Geoffrey Hinton}),[:collaboratedWith],(:person {id: Richard Zemel})
(:person {id: Geoffrey Hinton}),[:collaboratedWith],(:person {id: John J. Hopfield})
(:person {id: Geoffrey Hinton}),[:collaboratedWith],(:institution {id: Vector Institute})
(:person {id: Geoffrey Hinton}),[:collaboratedWith],(:person {id: Alex Krizhevsky})
(:person {id: Geoffrey Hinton}),[:collaboratedWith],(:person {id: Yann LeCun})
(:person {id: Geoffrey Hinton}),[:collaboratedWith],(:person {id: Brendan Frey})
(:person {id: Geoffrey Hinton}),[:collaboratedWith],(:person {id: Yoshua Bengio})
(:person {id: Geoffrey Hinton}),[:collaboratedWith],(:person {id: Ruslan Salakhutdinov})
(:person {id: Geoffrey Hinton}),[:coFounded],(:institution {id: Vector Institute})
(:person {id: Geoffrey Hinton}),[:hasAward],(:award {id: Nobel Prize in Physics})
(:person {id: Geoffrey Hinton}),[:hasAward],(:award {id: Turing Award})
(:person {id: Geoffrey Hinton}),[:hasAward],(:award {id: Rumelhart Prize})
(:person {id: Geoffrey Hinton}),[:hasAward],(:award {id: Princess of Asturias Award})
(:person {id: Geoffrey Hinton}),[:hasAward],(:award {id: IEEE Frank Rosenblatt Award})
(:person {id: Geoffrey Hinton}),[:bornAt],"(:date {id: December 6, 1947})"
(:person {id: Geoffrey Hinton}),[:hasNationality],(:nationality {id: British-Canadian})
(:person {id: Geoffrey Hinton}),[:hasStudent],(:person {id: Ilya Sutskever})
(:person {id: Geoffrey Hinton}),[:hasStudent],(:person {id: Yann LeCun})
(:person {id: Geoffrey Hinton}),[:earnedDegreeFrom],(:institution {id: University of Cambridge})
(:person {id: Geoffrey Hinton}),[:earnedDegree],(:degree {id: experimental psychology})
(:person {id: Geoffrey Hinton}),[:earnedDegree],(:degree {id: Ph.D})
(:person {id: Geoffrey Hinton}),[:workedWith],(:institution {id: field of artificial intelligence})
(:person {id: Geoffrey Hinton}),[:workedWith],(:institution {id: Google Brain})
(:person {id: Geoffrey Hinton}),[:workedWith],(:institution {id: Stanford University})
(:person {id: Geoffrey Hinton}),[:hasRelation],(:person {id: Mary Everest Boole})
(:person {id: Geoffrey Hinton}),[:hasRelation],(:person {id: George Boole})
(:person {id: Geoffrey Hinton}),[:advocates],(:characteristics {id: responsible AI practices})
(:person {id: Geoffrey Hinton}),[:advocates],(:characteristics {id: ethical implications of advanced technologies})
(:person {id: Yann LeCun}),[:bornIn],(:birthPlace {id: Soisy-sous-Montmorency})
(:person {id: Yann LeCun}),[:worksAt],(:institution {id: Courant Institute of Mathematical Sciences at New York University})
(:person {id: Yann LeCun}),[:worksAt],(:institution {id: Meta (formerly Facebook)})
(:person {id: Yann LeCun}),[:hasRole],(:role {id: key figure in deep learning})
(:person {id: Yann LeCun}),[:hasRole],(:role {id: computer scientist})
(:person {id: Yann LeCun}),[:coAuthored],(:person {id: Geoffrey Hinton})
(:person {id: Yann LeCun}),[:coAuthored],(:person {id: Yoshua Bengio})
(:person {id: Yann LeCun}),[:developed],(:invention {id: DjVu image compression technology})
(:person {id: Yann LeCun}),[:hasAward],(:award {id: Turing Award})
(:person {id: Yann LeCun}),[:bornAt],"(:date {id: July 8, 1960})"
(:person {id: Yann LeCun}),[:hasNationality],(:nationality {id: French-American})
(:person {id: Yann LeCun}),[:workedWith],(:invention {id: convolutional neural networks (CNNs)})
(:institution {id: University of Edinburgh}),[:earnedDegreeFrom],(:degree {id: AI})
(:invention {id: AI applications}),[:characteristics],(:characteristics {id: large language models like ChatGPT})
(:invention {id: AI applications}),[:characteristics],(:characteristics {id: self-driving cars})